Region,chicken wrap,chicken fingers
North Dakota,99,1
Connecticut,80,20
Maine,69,31
Michigan,81,19
Massachusetts,67,33
Delaware,69,31
New Jersey,74,26
Illinois,79,21
New Hampshire,57,43
Montana,99,1
Alabama,48,52
South Carolina,72,28
Kentucky,77,23
Indiana,78,22
Rhode Island,65,35
Pennsylvania,65,35
South Dakota,97,3
Wisconsin,78,22
Nebraska,73,27
Tennessee,69,31
Ohio,75,25
Louisiana,68,32
Vermont,69,31
North Carolina,79,21
Idaho,98,2
Missouri,76,24
Iowa,78,22
Maryland,79,21
New York,70,30
Kansas,76,24
Florida,71,29
Arkansas,64,36
Minnesota,79,21
Mississippi,73,27
Georgia,55,45
District of Columbia,96,4
West Virginia,67,33
Colorado,78,22
Oklahoma,76,24
Wyoming,97,3
Virginia,69,31
Hawaii,69,31
Utah,49,51
Texas,61,39
Arizona,71,29
Washington,81,19
Nevada,52,48
Alaska,97,3
California,77,23
New Mexico,73,27
Oregon,81,19